city_name,issue_area,sale_state,room_sum,area,sumulation_price,sale_telephone,room_code,room_sale_area,room_sale_state,region,layout,url
杭州市,13600.27,在售楼盘,135,102.45,18872,0571-8668 8999,湖悦岚湾11幢1001室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,18982,0571-8668 8999,湖悦岚湾11幢1002室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,18982,0571-8668 8999,湖悦岚湾11幢1003室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,18122,0571-8668 8999,湖悦岚湾11幢1004室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.54,13852,0571-8668 8999,湖悦岚湾11幢104室,82.66,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,18972,0571-8668 8999,湖悦岚湾11幢1101室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19082,0571-8668 8999,湖悦岚湾11幢1102室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19082,0571-8668 8999,湖悦岚湾11幢1103室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,18222,0571-8668 8999,湖悦岚湾11幢1104室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,19072,0571-8668 8999,湖悦岚湾11幢1201室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19182,0571-8668 8999,湖悦岚湾11幢1202室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19182,0571-8668 8999,湖悦岚湾11幢1203室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,18322,0571-8668 8999,湖悦岚湾11幢1204室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,19122,0571-8668 8999,湖悦岚湾11幢1301室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19232,0571-8668 8999,湖悦岚湾11幢1302室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19232,0571-8668 8999,湖悦岚湾11幢1303室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,18372,0571-8668 8999,湖悦岚湾11幢1304室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,19122,0571-8668 8999,湖悦岚湾11幢1401室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19232,0571-8668 8999,湖悦岚湾11幢1402室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19232,0571-8668 8999,湖悦岚湾11幢1403室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,18372,0571-8668 8999,湖悦岚湾11幢1404室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,102.45,19172,0571-8668 8999,湖悦岚湾11幢1501室,82.59,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
杭州市,13600.27,在售楼盘,135,88.48,19282,0571-8668 8999,湖悦岚湾11幢1502室,71.33,可售,钱塘新区,暂无资料,http://www.tmsf.com/newhouse/presell_33_1838665986_1880807372.htm
